"Name","Runtime","Notes","Tags","growing_jump","target_state","loss","loss0","step","total_seconds"
"glorious-violet-1544","100","-","","10","sconf_image(""final/wildflowers.png"")","0.009763185866177082","0.009763185866177082","1458","98.5869972705841"
"crisp-rain-1543","74","-","","10","sconf_image(""final/waterfall.png"")","0.00948010478168726","0.00948010478168726","1131","72.00799894332886"
"major-snow-1542","65","-","","10","sconf_image(""final/water.png"")","0.009934657253324986","0.009934657253324986","949","63.022995471954346"
"olive-moon-1541","66","-","","10","sconf_image(""final/watch.png"")","0.009831514209508896","0.009831514209508896","935","63.24599742889404"
"helpful-forest-1540","76","-","","10","sconf_image(""final/stress.png"")","0.009527773596346378","0.009527773596346378","1154","73.72399806976318"
"wild-yogurt-1539","82","-","","10","sconf_image(""final/rose.png"")","0.009400884620845318","0.009400884620845318","1279","79.84699130058289"
"winter-water-1538","108","-","","10","sconf_image(""final/pills.png"")","0.009936392307281494","0.009936392307281494","1616","105.82999753952026"
"summer-energy-1537","112","-","","10","sconf_image(""final/peppers.png"")","0.009956310503184795","0.009956310503184795","1681","109.81799936294556"
"volcanic-salad-1536","68","-","","10","sconf_image(""final/opera.png"")","0.008736592717468739","0.008736592717468739","1012","66.99799919128418"
"deft-lion-1535","96","-","","10","sconf_image(""final/newyork.png"")","0.00985010713338852","0.00985010713338852","1418","93.30499863624571"
"grateful-frog-1534","71","-","","10","sconf_image(""final/machine.png"")","0.009877647273242474","0.009877647273242474","1111","68.92900037765503"
"crimson-mountain-1533","94","-","","10","sconf_image(""final/lena.png"")","0.009576947428286076","0.009576947428286076","1315","91.25999784469604"
"unique-frog-1532","133","-","","10","sconf_image(""final/lake.png"")","0.009989903308451176","0.009989903308451176","1843","130.98699760437012"
"tough-bee-1531","86","-","","10","sconf_image(""final/kid.png"")","0.009820175357162952","0.009820175357162952","1293","83.9910020828247"
"amber-dawn-1530","67","-","","10","sconf_image(""final/fontaine.png"")","0.009909904561936855","0.009909904561936855","1065","65.00399994850159"
"revived-shadow-1529","130","-","","10","sconf_image(""final/f16.png"")","0.009892795234918594","0.009892795234918594","1892","128.1110019683838"
"polar-pine-1528","47","-","","10","sconf_image(""final/f15.png"")","0.009491843171417711","0.009491843171417711","701","45.06799602508545"
"quiet-flower-1527","90","-","","10","sconf_image(""final/corrosion.png"")","0.009808246046304704","0.009808246046304704","1338","87.69298100471497"
"silvery-meadow-1526","101","-","","10","sconf_image(""final/cathedral.png"")","0.009857016615569592","0.009857016615569592","1414","98.3049976825714"
"splendid-mountain-1525","90","-","","10","sconf_image(""final/bonito.png"")","0.009546227753162384","0.009546227753162384","1452","87.24100160598755"
"usual-resonance-1524","93","-","","10","sconf_image(""final/boat.png"")","0.009552673436701298","0.009552673436701298","1369","91.11699843406676"
"golden-sponge-1523","127","-","","10","sconf_image(""final/bear.png"")","0.00972581747919321","0.00972581747919321","1886","124.55600142478944"
"toasty-gorge-1522","58","-","","10","sconf_image(""final/beach.png"")","0.009918187744915484","0.009918187744915484","889","55.85099911689758"
"legendary-grass-1521","114","-","","10","sconf_image(""final/baboon.png"")","0.009198264218866823","0.009198264218866823","1733","111.66599822044373"
"ancient-valley-1520","195","-","","10","sconf_image(""final/arctic.png"")","0.00968827586621046","0.00968827586621046","2844","192.4319977760315"
"whole-wood-1519","131","-","","10","sconf_image(""final/arch.png"")","0.009839761070907116","0.009839761070907116","1894","129.1200008392334"
"classic-field-1518","171","-","","0","sconf_image(""final/wildflowers.png"")","0.009236211888492107","0.009236211888492107","1761","168.52999997138977"
"celestial-snowflake-1517","131","-","","0","sconf_image(""final/waterfall.png"")","0.009925797581672668","0.009925797581672668","1355","129.08400130271912"
"dry-fog-1516","116","-","","0","sconf_image(""final/water.png"")","0.0098705617710948","0.0098705617710948","1193","113.72899842262268"
"firm-fog-1515","98","-","","0","sconf_image(""final/watch.png"")","0.009393802843987942","0.009393802843987942","998","95.253000497818"
"unique-donkey-1514","115","-","","0","sconf_image(""final/stress.png"")","0.009401378221809864","0.009401378221809864","1188","113.085999250412"
"fresh-puddle-1513","180","-","","0","sconf_image(""final/rose.png"")","0.00976234208792448","0.00976234208792448","1876","177.94500184059143"
"logical-sound-1512","148","-","","0","sconf_image(""final/pills.png"")","0.009958243928849695","0.009958243928849695","1533","145.6499981880188"
