"Name","Runtime","Notes","Tags","kernel_set","target_state","loss","loss0","step","total_seconds"
"glamorous-tree-4618","68","-","","kernel_neighbors()","sconf_image(""final/water.png"")","0.06380065530538559","0.06380065530538559","376",""
"wild-donkey-4617","82","-","","kernel_sobel()","sconf_image(""final/water.png"")","0.009927797131240368","0.009927797131240368","845","79.8560004234314"
"treasured-planet-4615","486","-","","kernel_neighbors()","sconf_image(""final/watch.png"")","0.00999381672590971","0.00999381672590971","3678","483.584997177124"
"graceful-blaze-4614","63","-","","kernel_sobel()","sconf_image(""final/watch.png"")","0.00984742771834135","0.00984742771834135","644","60.705002546310425"
"prime-valley-4613","414","-","","kernel_neighbors()","sconf_image(""final/stress.png"")","0.008679715916514397","0.008679715916514397","3099","410.7309992313385"
"generous-vortex-4612","108","-","","kernel_sobel()","sconf_image(""final/stress.png"")","0.00985546875745058","0.00985546875745058","1123","105.53999471664427"
"summer-firefly-4611","709","-","","kernel_neighbors()","sconf_image(""final/rose.png"")","0.00972963310778141","0.00972963310778141","5342","706.9879989624023"
"icy-frost-4610","93","-","","kernel_sobel()","sconf_image(""final/rose.png"")","0.009806656278669834","0.009806656278669834","1011","90.98499941825868"
"rose-night-4609","394","-","","kernel_neighbors()","sconf_image(""final/pills.png"")","0.00977762695401907","0.00977762695401907","2981","392.0729959011078"
"vivid-lake-4608","191","-","","kernel_sobel()","sconf_image(""final/pills.png"")","0.009930220432579516","0.009930220432579516","2102","188.4140031337738"
"scarlet-eon-4607","371","-","","kernel_neighbors()","sconf_image(""final/peppers.png"")","0.009426742792129517","0.009426742792129517","2785","369.616996049881"
"graceful-surf-4606","113","-","","kernel_sobel()","sconf_image(""final/peppers.png"")","0.009174578823149204","0.009174578823149204","1250","112.13799929618835"
"comic-sea-4605","694","-","","kernel_neighbors()","sconf_image(""final/opera.png"")","0.009423277340829372","0.009423277340829372","5208","691.9759998321533"
"radiant-monkey-4604","108","-","","kernel_sobel()","sconf_image(""final/opera.png"")","0.009316413663327694","0.009316413663327694","1139","105.87700057029724"
"decent-bee-4603","451","-","","kernel_neighbors()","sconf_image(""final/newyork.png"")","0.00999926682561636","0.00999926682561636","3358","448.57299971580505"
"stellar-fog-4602","196","-","","kernel_sobel()","sconf_image(""final/newyork.png"")","0.009165673516690733","0.009165673516690733","2134","193.70900011062625"
"royal-water-4601","699","-","","kernel_neighbors()","sconf_image(""final/machine.png"")","0.009913508780300615","0.009913508780300615","5195","697.1939995288849"
"vague-bird-4600","85","-","","kernel_sobel()","sconf_image(""final/machine.png"")","0.009409348480403423","0.009409348480403423","889","83.12599897384644"
"stellar-vortex-4599","313","-","","kernel_neighbors()","sconf_image(""final/lena.png"")","0.008437384851276875","0.008437384851276875","2328","309.9809980392456"
