"Name","target_state","total_seconds"
"fine-leaf-4248","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")",""
"gentle-monkey-4247","sconf_image(""hard/lena.png"")","172.0569989681244"
"winter-firebrand-4246","sconf_imagestack(""hard/arch.png"", ""hard/water.png"")","320.90000009536743"
"neat-donkey-4245","sconf_imagestack(""hard/arch.png"", ""hard/rose.png"")","359.55200147628784"
"resilient-paper-4244","sconf_imagestack(""hard/arch.png"", ""hard/pills.png"")","416.69299960136414"
"fallen-rain-4243","sconf_imagestack(""hard/arch.png"", ""hard/peppers.png"")","292.19599962234497"
"vague-leaf-4242","sconf_imagestack(""hard/arch.png"", ""hard/lena.png"")","348.65299582481384"
"absurd-bee-4241","sconf_imagestack(""hard/arch.png"", ""hard/arch.png"")","282.6429989337921"
"fine-plant-4240","sconf_image(""hard/arch.png"")","224.84699654579163"
"worthy-lake-4239","sconf_imagestack(""hard/water.png"", ""hard/water.png"")","272.17299938201904"
"skilled-salad-4238","sconf_imagestack(""hard/water.png"", ""hard/rose.png"")","275.0659992694855"
"playful-field-4237","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","313.0589985847473"
"morning-shadow-4236","sconf_imagestack(""hard/water.png"", ""hard/peppers.png"")","342.92199897766113"
"cerulean-salad-4235","sconf_imagestack(""hard/water.png"", ""hard/lena.png"")","294.06100058555603"
"true-disco-4234","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","309.9019944667816"
"giddy-bee-4233","sconf_image(""hard/water.png"")","100.38199234008788"
"resilient-oath-4232","sconf_imagestack(""hard/rose.png"", ""hard/water.png"")","293.4590015411377"
"ancient-frog-4231","sconf_imagestack(""hard/rose.png"", ""hard/rose.png"")","340.00299978256226"
"polished-elevator-4230","sconf_imagestack(""hard/rose.png"", ""hard/pills.png"")","342.7499997615814"
"helpful-waterfall-4229","sconf_imagestack(""hard/rose.png"", ""hard/peppers.png"")","386.5679988861084"
"amber-elevator-4228","sconf_imagestack(""hard/rose.png"", ""hard/lena.png"")","484.78699827194214"
"silver-moon-4227","sconf_imagestack(""hard/rose.png"", ""hard/arch.png"")","509.5229976177216"
"valiant-firefly-4226","sconf_image(""hard/rose.png"")","248.71199989318848"
"upbeat-flower-4225","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","279.2290015220642"
"serene-sea-4224","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","562.0650000572205"
"smart-water-4223","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","419.5639998912811"
"sage-tree-4222","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","389.010000705719"
"celestial-dream-4221","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","344.26500034332275"
"wild-valley-4220","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","379.0550003051758"
"stellar-cherry-4219","sconf_image(""hard/pills.png"")","234.378999710083"
"astral-oath-4218","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","297.55499935150146"
"major-waterfall-4217","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","318.2309989929199"
"lemon-bird-4216","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","400.2890031337738"
"dainty-wildflower-4215","sconf_imagestack(""hard/peppers.png"", ""hard/peppers.png"")","306.1010003089905"
"daily-brook-4214","sconf_imagestack(""hard/peppers.png"", ""hard/lena.png"")","358.3709990978241"
"rich-puddle-4213","sconf_imagestack(""hard/peppers.png"", ""hard/arch.png"")","364.5149984359741"
"hardy-totem-4212","sconf_image(""hard/peppers.png"")","167.10399961471558"
"devout-energy-4211","sconf_imagestack(""hard/lena.png"", ""hard/water.png"")","221.6479983329773"
"sunny-durian-4210","sconf_imagestack(""hard/lena.png"", ""hard/rose.png"")","403.1550009250641"
"stellar-jazz-4209","sconf_imagestack(""hard/lena.png"", ""hard/pills.png"")","341.1720006465912"
"rosy-snowball-4208","sconf_imagestack(""hard/lena.png"", ""hard/peppers.png"")","289.303998708725"
"spring-microwave-4207","sconf_imagestack(""hard/lena.png"", ""hard/lena.png"")","327.59300112724304"
"unique-sound-4206","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")","285.6679973602295"
"legendary-jazz-4205","sconf_image(""hard/lena.png"")","123.68199944496156"
