Trial number, Nucleation X, Nucleation Y, Min Loss 
0,0.0,0.0,0.010478865
1,0.0,0.0,0.009498944
2,0.0,0.0,0.009713744
3,0.0,0.0,0.011611435
4,0.0,0.0,0.008595313
5,0.0,0.0,0.008303833
6,0.0,0.0,0.006581417
7,0.0,0.0,0.010807094
8,0.0,0.0,0.0088201435
9,0.0,0.0,0.009163004
0,0.0,0.125,0.011627387
1,0.0,0.125,0.041884404
2,0.0,0.125,0.010816999
3,0.0,0.125,0.01179018
4,0.0,0.125,0.010828833
5,0.0,0.125,0.010649358
6,0.0,0.125,0.009005356
7,0.0,0.125,0.008422049
8,0.0,0.125,0.009882494
9,0.0,0.125,0.00909282
0,0.0,0.25,0.0071259267
1,0.0,0.25,0.005776835
2,0.0,0.25,0.010765408
3,0.0,0.25,0.01125395
4,0.0,0.25,0.010528736
5,0.0,0.25,0.00913015
6,0.0,0.25,0.009850063
7,0.0,0.25,0.005954866
8,0.0,0.25,0.006911028
9,0.0,0.25,0.009136614
0,0.0,0.375,0.010424323
1,0.0,0.375,0.005204674
2,0.0,0.375,0.009620063
3,0.0,0.375,0.010458584
4,0.0,0.375,0.00470631
5,0.0,0.375,0.01040855
6,0.0,0.375,0.004568451
7,0.0,0.375,0.008849871
8,0.0,0.375,0.007909904
9,0.0,0.375,0.007831043
0,0.0,0.5,0.008348054
1,0.0,0.5,0.010016072
2,0.0,0.5,0.010893807
3,0.0,0.5,0.010912753
4,0.0,0.5,0.009828513
5,0.0,0.5,0.011582137
6,0.0,0.5,0.008695815
7,0.0,0.5,0.0056407913
8,0.0,0.5,0.011911231
9,0.0,0.5,0.007528541
0,0.0,0.625,0.0119160535
1,0.0,0.625,0.009992189
2,0.0,0.625,0.011365327
3,0.0,0.625,0.008355812
4,0.0,0.625,0.007922742
5,0.0,0.625,0.010797673
6,0.0,0.625,0.00854987
7,0.0,0.625,0.011005747
8,0.0,0.625,0.009669344
9,0.0,0.625,0.008892273
0,0.0,0.75,0.0022380035
1,0.0,0.75,0.011427951
2,0.0,0.75,0.0062410175
3,0.0,0.75,0.007059239
4,0.0,0.75,0.0051377993
5,0.0,0.75,0.009374633
6,0.0,0.75,0.011355507
7,0.0,0.75,0.008477553
8,0.0,0.75,0.0058786958
9,0.0,0.75,0.005382661
0,0.0,0.875,0.007615837
1,0.0,0.875,0.00545172
2,0.0,0.875,0.0040332805
3,0.0,0.875,0.010632679
4,0.0,0.875,0.007988284
5,0.0,0.875,0.009075034
6,0.0,0.875,0.0049462155
7,0.0,0.875,0.009989253
8,0.0,0.875,0.010238696
9,0.0,0.875,0.008613487
0,0.125,0.0,0.0041336264
1,0.125,0.0,0.0034962494
2,0.125,0.0,0.0030900438
3,0.125,0.0,0.0047976505
4,0.125,0.0,0.0038086257
5,0.125,0.0,0.0068043657
6,0.125,0.0,0.0061398544
7,0.125,0.0,0.0046039135
8,0.125,0.0,0.0030686657
9,0.125,0.0,0.007297152
0,0.125,0.125,0.009467289
1,0.125,0.125,0.0026434308
2,0.125,0.125,0.0065933727
3,0.125,0.125,0.009897127
4,0.125,0.125,0.003932986
5,0.125,0.125,0.01108569
6,0.125,0.125,0.003864428
7,0.125,0.125,0.0028660337
8,0.125,0.125,0.015610845
9,0.125,0.125,0.0057053952
0,0.125,0.25,0.0031337023
1,0.125,0.25,0.0040256847
2,0.125,0.25,0.0061550452
3,0.125,0.25,0.00346841
4,0.125,0.25,0.0038556836
5,0.125,0.25,0.0029604416
6,0.125,0.25,0.0047196276
